ts;kafka_ts;signal_timestamp;signal_oem_timestamp;final_ts
2025-02-12T09:28:32.611Z;12.02.2025 12:28;2025-02-12 12:28:32.000;2025-02-12 12:28:32.000;
2025-02-12T09:57:35.677Z;12.02.2025 12:57;2025-02-12 12:57:35.000;2025-02-12 12:57:35.000;
2025-02-06T09:24:06.421Z;6.02.2025 12:24;2025-02-06 12:24:03.000;2025-02-06 12:24:03.000;
2025-02-18T11:14:23.573Z;18.02.2025 14:14;2025-02-18 14:14:21.000;2025-02-18 14:14:21.000;
2025-02-13T11:46:41.500Z;13.02.2025 14:46;2025-02-13 14:46:40.000;2025-02-13 14:46:40.000;
2025-02-20T10:51:39.210Z;20.02.2025 13:51;2025-02-20 13:51:38.000;2025-02-20 13:51:38.000;
2025-02-12T04:35:48.127Z;12.02.2025 07:35;2025-02-12 07:35:47.000;2025-02-12 07:35:47.000;
2025-02-13T08:45:01.209Z;13.02.2025 11:45;2025-02-13 11:45:00.000;2025-02-13 11:45:00.000;
2025-02-11T12:39:57.759Z;11.02.2025 15:39;11.02.2025 15:39;2025-02-11 15:39:58.000;
2025-02-23T02:07:06.367Z;23.02.2025 05:07;2025-02-23 05:07:05.000;2025-02-23 05:07:05.000;
2025-02-19T18:24:28.911Z;19.02.2025 21:24;2025-02-19 21:24:28.000;2025-02-19 21:24:28.000;
2025-02-19T05:10:04.066Z;19.02.2025 08:10;2025-02-19 08:10:03.000;2025-02-19 08:10:03.000;
2025-02-04T19:03:03.308Z;4.02.2025 22:03;2025-02-04 22:03:02.000;2025-02-04 22:03:02.000;
2025-02-13T11:06:23.088Z;13.02.2025 14:06;2025-02-13 14:06:22.000;2025-02-13 14:06:22.000;
2025-02-25T12:10:07.850Z;2025-02-25 15:10:08.037;25.02.2025 15:10;2025-02-25 15:10:08.000;
2025-02-09T18:57:32.491Z;9.02.2025 21:57;2025-02-09 21:57:32.000;2025-02-09 21:57:32.000;
2025-02-08T09:54:24.603Z;2025-02-08 12:54:25.024;2025-02-08 12:54:23.000;2025-02-08 12:54:23.000;
2025-02-28T16:02:47.035Z;2025-02-28 19:02:48.062;2025-02-28 19:02:46.000;2025-02-28 19:02:46.000;
2025-02-28T15:35:00.687Z;28.02.2025 18:35;2025-02-28 18:34:59.000;2025-02-28 18:34:59.000;
2025-02-22T12:41:03.494Z;2025-02-22 15:41:04.019;2025-02-22 15:40:59.000;2025-02-22 15:40:59.000;
2025-02-24T00:46:41.872Z;2025-02-24 03:46:42.030;2025-02-24 03:46:40.000;2025-02-24 03:46:40.000;
2025-02-13T08:43:29.651Z;2025-02-13 11:43:30.093;2025-02-13 11:43:28.000;2025-02-13 11:43:28.000;
2025-02-03T21:36:44.589Z;2025-02-04 00:36:45.044;2025-02-04 00:36:44.000;2025-02-04 00:36:44.000;
2025-02-16T12:12:32.253Z;16.02.2025 15:12;2025-02-16 15:12:32.000;2025-02-16 15:12:32.000;
2025-02-02T11:45:38.317Z;2.02.2025 14:45;2025-02-02 14:45:35.000;2025-02-02 14:45:35.000;
2025-02-18T10:08:13.796Z;18.02.2025 13:08;2025-02-18 13:08:13.000;2025-02-18 13:08:13.000;
2025-02-20T07:33:39.510Z;20.02.2025 10:33;2025-02-20 10:33:38.000;2025-02-20 10:33:38.000;
2025-02-18T08:16:07.460Z;18.02.2025 11:16;2025-02-18 11:16:06.000;2025-02-18 11:16:06.000;
2025-02-25T09:00:20.650Z;25.02.2025 12:00;2025-02-25 12:00:15.000;2025-02-25 12:00:15.000;
2025-02-28T05:18:20.877Z;28.02.2025 08:54;2025-02-28 08:18:20.000;2025-02-28 08:18:20.000;
2025-02-26T07:06:30.050Z;2025-02-26 10:30:08.083;2025-02-26 10:06:29.000;2025-02-26 10:06:29.000;
